Interation;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
1;bubbleSort;Ordered;10;0.000000;11;3
1;bubbleSort;Ordered;100;0.000000;101;3
1;bubbleSort;Ordered;1000;0.000000;1001;3
1;bubbleSort;Ordered;10000;0.000000;10001;3
1;bubbleSort;OrderedInverse;10;0.000000;99;191
1;bubbleSort;OrderedInverse;100;0.000000;9999;19901
1;bubbleSort;OrderedInverse;1000;0.005001;999999;1999001
1;bubbleSort;OrderedInverse;10000;0.350998;99999999;199990001
1;bubbleSort;AlmostOrdered;10;0.000000;31;17
1;bubbleSort;AlmostOrdered;100;0.000000;3423;2105
1;bubbleSort;AlmostOrdered;1000;0.002000;419503;249995
1;bubbleSort;AlmostOrdered;10000;0.130000;43272257;24900316
1;bubbleSort;Random;10;0.000000;60;64
1;bubbleSort;Random;100;0.000000;7268;9321
1;bubbleSort;Random;1000;0.002000;735544;955370
1;bubbleSort;Random;10000;0.319001;73451433;94441546
1;heapSort;Ordered;10;0.000000;47;151
1;heapSort;Ordered;100;0.000000;966;2732
1;heapSort;Ordered;1000;0.001000;14852;39058
1;heapSort;Ordered;10000;0.078999;197606;510854
1;heapSort;OrderedInverse;10;0.000000;43;119
1;heapSort;OrderedInverse;100;0.000000;872;2280
1;heapSort;OrderedInverse;1000;0.001002;13613;33895
1;heapSort;OrderedInverse;10000;0.036998;186205;456269
1;heapSort;AlmostOrdered;10;0.000000;45;153
1;heapSort;AlmostOrdered;100;0.000000;930;2588
1;heapSort;AlmostOrdered;1000;0.001000;14333;37697
1;heapSort;AlmostOrdered;10000;0.036000;193007;494873
1;heapSort;Random;10;0.000000;47;151
1;heapSort;Random;100;0.000000;912;2396
1;heapSort;Random;1000;0.001001;14011;35417
1;heapSort;Random;10000;0.036000;186379;463583
1;insertionSort;Ordered;10;0.000000;27;27
1;insertionSort;Ordered;100;0.000000;297;297
1;insertionSort;Ordered;1000;0.000000;2997;2997
1;insertionSort;Ordered;10000;0.000000;29997;29997
1;insertionSort;OrderedInverse;10;0.000000;99;108
1;insertionSort;OrderedInverse;100;0.000000;9999;10098
1;insertionSort;OrderedInverse;1000;0.003000;999999;1000998
1;insertionSort;OrderedInverse;10000;0.222999;99999999;100009998
1;insertionSort;AlmostOrdered;10;0.000000;33;33
1;insertionSort;AlmostOrdered;100;0.000000;1331;1331
1;insertionSort;AlmostOrdered;1000;0.000000;127761;127761
1;insertionSort;AlmostOrdered;10000;0.031001;12477699;12477699
1;insertionSort;Random;10;0.000000;51;53
1;insertionSort;Random;100;0.000000;4909;4911
1;insertionSort;Random;1000;0.000999;480213;480218
1;insertionSort;Random;10000;0.108000;47246043;47246048
1;mergeSort;Ordered;10;0.000000;134;164
1;mergeSort;Ordered;100;0.000000;2275;2575
1;mergeSort;Ordered;1000;0.000000;31964;34964
1;mergeSort;Ordered;10000;0.030000;428984;458984
1;mergeSort;OrderedInverse;10;0.000000;134;164
1;mergeSort;OrderedInverse;100;0.000000;2275;2575
1;mergeSort;OrderedInverse;1000;0.000000;31964;34964
1;mergeSort;OrderedInverse;10000;0.026000;428984;458984
1;mergeSort;AlmostOrdered;10;0.000000;134;164
1;mergeSort;AlmostOrdered;100;0.000000;2275;2575
1;mergeSort;AlmostOrdered;1000;0.000000;31964;34964
1;mergeSort;AlmostOrdered;10000;0.026000;428984;458984
1;mergeSort;Random;10;0.000000;134;164
1;mergeSort;Random;100;0.000000;2275;2575
1;mergeSort;Random;1000;0.001000;31964;34964
1;mergeSort;Random;10000;0.026000;428984;458984
1;quickSort;Ordered;10;0.000000;117;200
1;quickSort;Ordered;100;0.000000;10197;11090
1;quickSort;Ordered;1000;0.003001;1001997;1010990
1;quickSort;Ordered;10000;0.313999;100019997;100109990
1;quickSort;OrderedInverse;10;0.000000;92;150
1;quickSort;OrderedInverse;100;0.000000;7697;6090
1;quickSort;OrderedInverse;1000;0.003000;751997;510990
1;quickSort;OrderedInverse;10000;0.234000;75019997;50109990
1;quickSort;AlmostOrdered;10;0.000000;88;160
1;quickSort;AlmostOrdered;100;0.001000;3533;4170
1;quickSort;AlmostOrdered;1000;0.001000;267865;272720
1;quickSort;AlmostOrdered;10000;0.107000;25181084;25221476
1;quickSort;Random;10;0.000000;56;104
1;quickSort;Random;100;0.000000;743;926
1;quickSort;Random;1000;0.001000;7229;7066
1;quickSort;Random;10000;0.000000;75030;81138
1;selectionSort;Ordered;10;0.000000;63;0
1;selectionSort;Ordered;100;0.000000;5148;0
1;selectionSort;Ordered;1000;0.001000;501498;0
1;selectionSort;Ordered;10000;0.104000;50014998;0
1;selectionSort;OrderedInverse;10;0.000000;88;40
1;selectionSort;OrderedInverse;100;0.000000;7648;2650
1;selectionSort;OrderedInverse;1000;0.002001;751498;251500
1;selectionSort;OrderedInverse;10000;0.111999;75014998;25015000
1;selectionSort;AlmostOrdered;10;0.000000;65;5
1;selectionSort;AlmostOrdered;100;0.000000;5289;276
1;selectionSort;AlmostOrdered;1000;0.002000;503879;3857
1;selectionSort;AlmostOrdered;10000;0.104001;50050934;50903
1;selectionSort;Random;10;0.000000;72;27
1;selectionSort;Random;100;0.000000;5389;508
1;selectionSort;Random;1000;0.001000;504173;5510
1;selectionSort;Random;10000;0.105999;50040684;54177
